num_experimento,tempo_total_seg,tempo_medio_iteracao,tempo_medio_treino_particula,uso_medio_cpu,uso_max_memoria_mb,uso_disco_mb,total_iteracoes
1,4948.097460985184,247.4039291381836,12.346695687174797,35.705,4914.89453125,14405.9375,20
2,4594.264541864395,229.71205002069473,11.475251628160477,18.82,7326.29296875,14406.525,20
3,1950.898621559143,97.5443193078041,4.870410612821579,8.35,7198.15234375,75706.5005859375,20
4,3137.6256291866302,156.88067076206207,7.838410922288895,5.3950000000000005,11937.95703125,75711.2193359375,20
5,4905.0742156505585,245.25298217535018,12.257009754180908,9.675,18707.3359375,75693.9943359375,20
6,6308.600387573242,315.4293822526932,15.765303097367287,8.129999999999999,24925.61328125,75664.475,20
7,1220.9056570529938,61.045230901241304,3.0444846248626707,2.67,6481.9296875,14406.75,20
8,2135.741824388504,106.78695566654206,5.331108179688454,1.0,13218.125,14406.76875,20
9,2609.1864790916443,130.45922091007233,6.514957280755043,1.22,17630.97265625,14406.875,20
10,1490.4581756591797,74.52283092737198,3.7183031940460207,1.2850000000000001,8436.2734375,14407.0,20
11,2065.960035800934,103.2973857164383,5.159251447916031,7.630000000000003,7495.62890625,75526.75078125,20
12,3475.198170900345,173.7592570066452,8.682335870862007,6.82,13450.3828125,75526.85703125,20
13,5105.174047470093,255.2581346988678,12.757282733917236,8.275000000000002,20144.83984375,75526.991015625,20
14,6724.356197357178,336.21716887950896,16.80523358464241,4.59,26976.30078125,75527.1328125,20
15,1920.3384618759155,96.01627134084701,4.795135505199433,23.810000000000002,6399.45703125,75495.375,20
16,3814.7724707126617,190.73797475099565,9.531230998039245,20.555,13341.19921875,75526.2380859375,20
17,1757.053095817566,87.85198526382446,4.386974450349808,9.305000000000001,6364.6953125,75557.1435546875,20
18,2804.6072211265564,140.22969601154327,7.0058491420745845,4.57,10800.890625,75551.376171875,20
19,4008.3170516490936,200.41520906686782,10.015141171813012,5.245,15786.52734375,75552.859765625,20
20,1707.209165096283,85.3597781419754,4.262337678074837,7.214999999999999,6291.71484375,75557.1611328125,20
21,2986.855315208435,149.3420676112175,7.461485400795937,5.089999999999999,11556.1484375,75555.657421875,20
22,4566.824403762817,228.34054565429688,11.411403506398202,8.18,18067.19140625,75556.4666015625,20
23,1528.2610569000244,76.412368786335,3.814991647005081,13.194999999999999,4992.375,75594.448046875,20
24,3016.6376435756683,150.8312232732773,7.5359198361635205,11.540000000000003,11079.875,75562.8423828125,20
25,4757.744906902313,237.8865926861763,11.88867994427681,7.094999999999999,17952.0859375,75566.3560546875,20
26,1852.168493270874,92.60786100625992,4.624762714505196,7.65,6787.70703125,75586.890234375,20
27,3339.066234588623,166.9526838183403,8.341989586949348,9.955000000000002,12812.28125,75588.344140625,20
28,5171.503472328186,258.5745394587517,12.92310870230198,7.8,19471.1484375,75591.5419921875,20
29,61966.95370221138,3098.3441105365755,154.90911722660064,44.37499999999999,6092.61328125,216228.4791015625,20
30,4208.306616783142,210.41153057813645,10.513795672059059,42.555,7377.88671875,221547.4935546875,20
31,2452.268172264099,122.61177978515624,6.124018177390099,16.250000000000004,7248.109375,201415.26484375,20
32,3297.7563569545746,164.88680375814437,8.237562481164932,35.755,11378.953125,201452.96328125,20
